nom;enseigne;reseau;adresse;code_postal;ville;region;latitude;longitude;telephone;contact;ca_jrf;exercice;reference;libelle_excel
AD Delhaize Wondelgem -;AD Delhaize;affilie;;9032;Wondelgem;flandre;;;;;;;ADD-063;AD DELHAIZE WONDELGEM -
AD Delhaize Zedelgem;AD Delhaize;affilie;;8210;Zedelgem;flandre;;;;;;;ADD-064;AD DELHAIZE ZEDELGEM
AD Delhaize Evere;AD Delhaize;affilie;;1140;Evere;bruxelles;;;;;;;ADD-065;AD DELHAIZE EVERE
AD Delhaize Ferrieres;AD Delhaize;affilie;;4190;Ferrières;wallonie;;;;;;;ADD-066;AD DELHAIZE FERRIERES
AD Delhaize Waregem;AD Delhaize;affilie;;8790;Waregem;flandre;;;;;;;ADD-067;AD WAREGEM
AD Delhaize Zwijnaarde;AD Delhaize;affilie;;9052;Zwijnaarde;flandre;;;;;;;ADD-068;AD ZWIJNAARDE
AD Delhaize Jodoigne;AD Delhaize;affilie;;1370;Jodoigne;wallonie;;;;;;;ADD-069;AD JODOIGNE
AD Delhaize Waregem;AD Delhaize;affilie;;8790;Waregem;flandre;;;;;;;ADD-070;AD WAREGEM
AD Delhaize Belgrade;AD Delhaize;affilie;;5001;Namur;wallonie;;;;;;;ADD-071;AD BELGRADE
Proxy Delhaize Beerzel;Proxy Delhaize;affilie;;2580;Beerzel;flandre;;;;;;;PXY-001;PROXY BEERZEL
AD Delhaize Recogne;AD Delhaize;affilie;;6800;Recogne;wallonie;;;;;;;ADD-072;AD RECOGNE
AD Delhaize Wanze;AD Delhaize;affilie;;4520;Wanze;wallonie;;;;;;;ADD-073;AD WANZE
AD Delhaize Fort Jaco;AD Delhaize;affilie;;1180;Uccle;bruxelles;;;;;;;ADD-074;AD FORT JACO
AD Delhaize Genval;AD Delhaize;affilie;;1332;Genval;wallonie;;;;;;;ADD-075;AD GENVAL
AD Delhaize Croix De Guerre;AD Delhaize;affilie;;1020;Laeken;bruxelles;;;;;;;ADD-076;AD CROIX DE GUERRE
AD Delhaize La Louviere;AD Delhaize;affilie;;7100;La Louvière;wallonie;;;;;;;ADD-077;AD LA LOUVIERE
AD Delhaize Hankar;AD Delhaize;affilie;Clos Lucien Outers 1;1160;Auderghem;bruxelles;;;;;;;ADD-078;AD HANKAR
Proxy Delhaize Hoeilaart;Proxy Delhaize;affilie;;1560;Hoeilaart;flandre;;;;;;;PXY-002;PROXY HOEILLART
Proxy Delhaize Woluwe St Lambert;Proxy Delhaize;affilie;;1200;Woluwe-Saint-Lambert;bruxelles;;;;;;;PXY-003;PROXY WOLUWE ST LAMBERT
Proxy Delhaize Schaerbeek;Proxy Delhaize;affilie;;1030;Schaerbeek;bruxelles;;;;;;;PXY-004;PROXY SCHAERBEEK
Proxy Delhaize Rhisnes;Proxy Delhaize;affilie;;5080;Rhisnes;wallonie;;;;;;;PXY-005;PROXY RHISNES
Delhaize Reet;Delhaize;integre;'s Herenbaan 178;2840;Rumst;flandre;;;;;;;DEL-001;DELHAIZE REER
Delhaize Vise;Delhaize;integre;;4600;Visé;wallonie;;;;;;;DEL-002;DELHAIZE VISE
Delhaize Ardooie;Delhaize;integre;;8850;Ardooie;flandre;;;;;;;DEL-003;DELHAIZE AARDOIE
Delhaize Zele;Delhaize;integre;;9240;Zele;flandre;;;;;;;DEL-004;DELHAIZE ZELE
Delhaize Torhout;Delhaize;integre;;8820;Torhout;flandre;;;;;;;DEL-005;DELHAIZE TORHOUT
Delhaize Aartselaar;Delhaize;integre;;2630;Aartselaar;flandre;;;;;;;DEL-006;DELHAIZE AARTSELAAR
